k	alpha	distribution	manager	thresholds	entropy	time
10	1.0	f	m	[f:6,]	4.43684	8.16078
11	1.0	f	m	[f:6,]	4.43266	8.84613
12	1.0	f	m	[c:0.01,]	4.35129	8.39702
12	1.0	f	m	[c:0.05,]	4.47641	10.0238
12	1.0	f	m	[f:3,]	4.41545	9.55425
12	1.0	f	m	[f:6,]	4.42929	8.15512
12	1.0	f	m	[f:9,]	4.43929	7.45103
12	1.0	f	m	[n:0.3,]	4.43524	7.27746
12	1.0	f	m	[n:0.4,]	4.41081	6.96552
12	1.0	f	m	[n:0.5,]	4.39864	9.20042
13	1.0	f	m	[f:6,]	4.42925	9.8033
14	1.0	f	m	[f:6,]	4.42978	7.95666
15	1.0	f	m	[f:6,]	4.43228	7.33517
4	1.0	f	m	[f:6,]	4.5111	11.3304
5	1.0	f	m	[f:6,]	4.48476	9.84814
6	1.0	f	m	[f:6,]	4.46478	9.68529
7	1.0	f	m	[f:6,]	4.45224	9.66324
8	1.0	f	m	[f:6,]	4.44043	9.02154
9	1.0	f	m	[f:6,]	4.43762	8.99458
